keyword,training_course_id,compe_unit_name,compe_unit_level,ncs_lclas_cdnm,ncs_mclas_cdnm,ncs_sclas_cdnm,ncs_subd_cdnm,train_time,meth_name
인사,272,교육훈련운영,4,경영·회계·사무,총무·인사,인사·조직,인사,20,집체훈련현장실습
인사,274,급여지급,3,경영·회계·사무,총무·인사,인사·조직,인사,20,집체훈련현장실습
인사,275,복리후생관리,4,경영·회계·사무,총무·인사,인사·조직,인사,20,집체훈련현장실습
인사,269,인력이동관리,5,경영·회계·사무,총무·인사,인사·조직,인사,20,집체훈련현장실습
인사,268,인력채용,5,경영·회계·사무,총무·인사,인사·조직,인사,30,집체훈련현장실습
인사,277,인사 아웃소싱,4,경영·회계·사무,총무·인사,인사·조직,인사,20,집체훈련현장실습
인사,266,인사기획,6,경영·회계·사무,총무·인사,인사·조직,인사,24,집체훈련
인사,270,인사평가,5,경영·회계·사무,총무·인사,인사·조직,인사,24,집체훈련현장실습
인사,273,임금관리,5,경영·회계·사무,총무·인사,인사·조직,인사,30,집체훈련현장실습
인사,279,전직지원,5,경영·회계·사무,총무·인사,인사·조직,인사,20,집체훈련현장실습
인사,276,조직문화관리,4,경영·회계·사무,총무·인사,인사·조직,인사,24,집체훈련
인사,267,직무관리,5,경영·회계·사무,총무·인사,인사·조직,인사,24,집체훈련현장실습
인사,278,퇴직업무지원,3,경영·회계·사무,총무·인사,인사·조직,인사,20,집체훈련현장실습
인사,271,핵심인재관리,5,경영·회계·사무,총무·인사,인사·조직,인사,24,집체훈련현장실습
인사,539,비재무정보 분석,4,금융·보험,금융,신용분석,개인신용분석,20,원격훈련집체훈련
인사,541,신용등급의 운용,5,금융·보험,금융,신용분석,개인신용분석,40,원격훈련집체훈련
인사,542,신용정보 집중관리,6,금융·보험,금융,신용분석,개인신용분석,40,원격훈련집체훈련
인사,538,재무정보 분석,3,금융·보험,금융,신용분석,개인신용분석,15,원격훈련집체훈련
인사,536,정보수집,3,금융·보험,금융,신용분석,개인신용분석,15,원격훈련집체훈련
인사,1178,사회복지조직 인사관리,6,사회복지·종교,사회복지,사회복지정책,사회복지조직운영,8,집체훈련
인사평가,270,인사평가,5,경영·회계·사무,총무·인사,인사·조직,인사,24,집체훈련현장실습
직무관리,267,직무관리,5,경영·회계·사무,총무·인사,인사·조직,인사,24,집체훈련현장실습
데이터,145,해외취업 구직자 발굴,4,사업관리,사업관리,해외관리,해외취업관리,20,집체훈련
데이터,142,해외취업 정보수집,4,사업관리,사업관리,해외관리,해외취업관리,20,집체훈련
데이터,66,고객 관계 관리,4,경영·회계·사무,기획사무,마케팅,고객관리,24,집체훈련
데이터,67,고객데이터 분석,5,경영·회계·사무,기획사무,마케팅,고객관리,60,집체훈련
데이터,74,기술통계분석,4,경영·회계·사무,기획사무,마케팅,통계조사,30,집체훈련
데이터,78,비즈니스 인텔리전스 지원,7,경영·회계·사무,기획사무,마케팅,통계조사,45,집체훈련
데이터,90,유통정보관리,4,경영·회계·사무,기획사무,마케팅,유통관리,40,원격훈련집체훈련현장견학
데이터,303,자료 관리,4,경영·회계·사무,총무·인사,일반사무,사무행정,30,집체훈련
데이터,368,공정지표관리,5,경영·회계·사무,생산·품질관리,생산관리,공정관리,16,집체훈련
데이터,630,자산 건전성 관리,6,금융·보험,금융,금융영업지원,리스크관리,20,집체훈련
데이터,749,통계관리,5,금융·보험,보험,보험영업·계약,보험계약·보전,30,원격훈련집체훈련
데이터,757,평가기준 개선,5,금융·보험,보험,보험영업·계약,위험관리,16,원격훈련집체훈련
데이터,1051,스마트재난원인분석,5,법률·경찰·소방·교도·국방,소방방재,스마트재난관리,스마트재난위험예측,50,집체훈련
데이터,1050,스마트재난전조감지,4,법률·경찰·소방·교도·국방,소방방재,스마트재난관리,스마트재난위험예측,40,집체훈련
데이터,1048,스마트재난정보수집,3,법률·경찰·소방·교도·국방,소방방재,스마트재난관리,스마트재난위험예측,30,집체훈련
데이터,1049,스마트재난정보저장관리,3,법률·경찰·소방·교도·국방,소방방재,스마트재난관리,스마트재난위험예측,30,집체훈련
데이터,1062,스마트재난관리기술적용,3,법률·경찰·소방·교도·국방,소방방재,스마트재난관리,스마트재난관리설계,30,집체훈련현장실습
데이터,1063,스마트재난관리환류,6,법률·경찰·소방·교도·국방,소방방재,스마트재난관리,스마트재난관리설계,30,집체훈련
데이터,1113,의료기관 관련 평가 수검·지원,5,보건·의료,보건,의료기술지원,의료정보관리,60,집체훈련현장실습
데이터,1468,무대조명 프로그래밍,5,문화·예술·디자인·방송,문화·예술,공연예술,무대조명,45,집체훈련현장실습
통계,77,2차 자료 분석,4,경영·회계·사무,기획사무,마케팅,통계조사,16,집체훈련
통계,74,기술통계분석,4,경영·회계·사무,기획사무,마케팅,통계조사,30,집체훈련
통계,73,보고서 작성,5,경영·회계·사무,기획사무,마케팅,통계조사,16,집체훈련
통계,78,비즈니스 인텔리전스 지원,7,경영·회계·사무,기획사무,마케팅,통계조사,45,집체훈련
