scenario_id,scenario_name,major_code,review_status,current_query,target_query,ok,current_match,target_match,expected_courses,recommended_courses,hit_courses,missed_expected_courses,hit_count,recommended_count,case_precision,case_recall,high_confidence_count,medium_confidence_count,low_confidence_count,transferability_ratio,current_ksa_count,target_ksa_count,transferable_ksa_count,gap_ksa_count
1,general_affairs_to_labor_management,02,candidate,총무,노무관리,True,총무,노무관리,노사관계 계획|단체교섭|단체교섭준비|노동쟁의 대응|노사협의회 운영|노사갈등 해결,노사관계 계획|단체교섭준비|단체교섭|노사관계 교육훈련|노사관계 평가,노사관계 계획|단체교섭|단체교섭준비,노동쟁의 대응|노사협의회 운영|노사갈등 해결,3,5,0.6,0.5,5,0,0,0.0546,221,183,10,173
2,labor_management_to_hr_planning,02,candidate,노무관리,인사기획,True,노무관리,인사기획,인사기획|직무관리|인력채용|임금관리,인사기획|직무관리|임금관리|인력채용|인력이동관리,인사기획|직무관리|인력채용|임금관리,,4,5,0.8,1.0,1,1,3,0.0455,183,22,1,21
3,recruiting_to_hr_development,02,candidate,인력채용,교육훈련운영,True,인력채용,교육훈련운영,교육훈련운영|핵심인재관리,교육훈련운영|핵심인재관리|노사관계 교육훈련|단체교섭준비|인사기획,교육훈련운영|핵심인재관리,,2,5,0.4,1.0,1,1,3,0.0,31,34,0,34
4,general_affairs_to_hr_planning,02,candidate,총무,인사기획,True,총무,인사기획,인사기획|직무관리|인력채용,인사기획|직무관리|단체협약이행|임금관리|인력채용,인사기획|직무관리|인력채용,,3,5,0.6,1.0,1,1,3,0.0909,221,22,2,20
5,general_affairs_to_recruiting,02,candidate,총무,인력채용,True,총무,인력채용,인력채용|인사기획|직무관리,인력채용|직무관리|단체협약이행|단체교섭준비|인사기획,인력채용|인사기획|직무관리,,3,5,0.6,1.0,1,2,2,0.0,221,31,0,31
6,general_affairs_to_compensation,02,candidate,총무,임금관리,True,총무,임금관리,임금관리|급여지급|인사기획,임금관리|급여지급|단체협약이행|인사기획|복리후생관리,임금관리|급여지급|인사기획,,3,5,0.6,1.0,1,2,2,0.069,221,29,2,27
7,general_affairs_to_benefits,02,candidate,총무,복리후생관리,True,총무,복리후생관리,복리후생관리|임금관리|인사기획,복리후생관리|임금관리|인사기획|급여지급|교육훈련운영,복리후생관리|임금관리|인사기획,,3,5,0.6,1.0,1,1,3,0.0667,221,30,2,28
8,general_affairs_to_hrd,02,candidate,총무,교육훈련운영,True,총무,교육훈련운영,교육훈련운영|핵심인재관리|인사기획,교육훈련운영|핵심인재관리|노사관계 교육훈련|단체교섭준비|인사기획,교육훈련운영|핵심인재관리|인사기획,,3,5,0.6,1.0,1,1,3,0.0588,221,34,2,32
9,labor_management_to_compensation,02,candidate,노무관리,임금관리,True,노무관리,임금관리,임금관리|급여지급|단체교섭준비,임금관리|급여지급|단체교섭준비|단체교섭|인사기획,임금관리|급여지급|단체교섭준비,,3,5,0.6,1.0,1,3,1,0.0345,183,29,1,28
10,labor_management_to_recruiting,02,candidate,노무관리,인력채용,True,노무관리,인력채용,인력채용|인사기획|직무관리,인력채용|직무관리|인사기획|핵심인재관리|인력이동관리,인력채용|인사기획|직무관리,,3,5,0.6,1.0,1,2,2,0.0645,183,31,2,29
11,labor_management_to_hrd,02,candidate,노무관리,교육훈련운영,True,노무관리,교육훈련운영,교육훈련운영|노사관계 교육훈련|핵심인재관리,교육훈련운영|핵심인재관리|노사관계 교육훈련|인사기획|직무관리,교육훈련운영|노사관계 교육훈련|핵심인재관리,,3,5,0.6,1.0,1,1,3,0.0882,183,34,3,31
12,labor_management_to_benefits,02,candidate,노무관리,복리후생관리,True,노무관리,복리후생관리,복리후생관리|임금관리|인사기획,복리후생관리|임금관리|인사기획|급여지급|교육훈련운영,복리후생관리|임금관리|인사기획,,3,5,0.6,1.0,1,1,3,0.0,183,30,0,30
13,recruiting_to_hr_planning,02,candidate,인력채용,인사기획,True,인력채용,인사기획,인사기획|직무관리|인력채용,인사기획|직무관리|단체협약이행|임금관리|인력채용,인사기획|직무관리|인력채용,,3,5,0.6,1.0,1,1,3,0.0455,31,22,1,21
14,recruiting_to_compensation,02,candidate,인력채용,임금관리,True,인력채용,임금관리,임금관리|급여지급|인사기획,임금관리|급여지급|단체협약이행|인사기획|복리후생관리,임금관리|급여지급|인사기획,,3,5,0.6,1.0,1,2,2,0.0,31,29,0,29
15,recruiting_to_benefits,02,candidate,인력채용,복리후생관리,True,인력채용,복리후생관리,복리후생관리|인사기획|임금관리,복리후생관리|임금관리|인사기획|급여지급|조직문화관리,복리후생관리|인사기획|임금관리,,3,5,0.6,1.0,1,1,3,0.0,31,30,0,30
16,compensation_to_hr_planning,02,candidate,임금관리,인사기획,True,임금관리,인사기획,인사기획|직무관리|인력채용,인사기획|직무관리|단체협약이행|인력채용|임금관리,인사기획|직무관리|인력채용,,3,5,0.6,1.0,1,1,3,0.0909,29,22,2,20
17,compensation_to_labor_management,02,candidate,임금관리,노무관리,True,임금관리,노무관리,노사관계 계획|단체교섭준비|단체교섭,노사관계 계획|단체교섭준비|단체교섭|노사협의회 운영|노사관계 교육훈련,노사관계 계획|단체교섭준비|단체교섭,,3,5,0.6,1.0,5,0,0,0.0055,29,183,1,182
18,compensation_to_benefits,02,candidate,임금관리,복리후생관리,True,임금관리,복리후생관리,복리후생관리|임금관리|급여지급,복리후생관리|임금관리|인사기획|급여지급|조직문화관리,복리후생관리|임금관리|급여지급,,3,5,0.6,1.0,1,1,3,0.0,29,30,0,30
19,benefits_to_compensation,02,candidate,복리후생관리,임금관리,True,복리후생관리,임금관리,임금관리|급여지급|복리후생관리,임금관리|급여지급|단체협약이행|인사기획|복리후생관리,임금관리|급여지급|복리후생관리,,3,5,0.6,1.0,1,2,2,0.0,30,29,0,29
20,benefits_to_hr_planning,02,candidate,복리후생관리,인사기획,True,복리후생관리,인사기획,인사기획|직무관리|임금관리,인사기획|직무관리|단체협약이행|인력채용|임금관리,인사기획|직무관리|임금관리,,3,5,0.6,1.0,1,2,2,0.0,30,22,0,22
21,benefits_to_labor_management,02,candidate,복리후생관리,노무관리,True,복리후생관리,노무관리,노사관계 계획|단체교섭준비|노사협의회 운영,노사관계 계획|단체교섭준비|단체교섭|노사협의회 운영|노사관계 교육훈련,노사관계 계획|단체교섭준비|노사협의회 운영,,3,5,0.6,1.0,5,0,0,0.0,30,183,0,183
22,hrd_to_hr_planning,02,candidate,교육훈련운영,인사기획,True,교육훈련운영,인사기획,인사기획|직무관리|인력채용,인사기획|직무관리|단체협약이행|임금관리|인력채용,인사기획|직무관리|인력채용,,3,5,0.6,1.0,1,3,1,0.0,34,22,0,22
23,hrd_to_recruiting,02,candidate,교육훈련운영,인력채용,True,교육훈련운영,인력채용,인력채용|인사기획|직무관리,인력채용|인사기획|단체협약이행|노사관계 계획|직무관리,인력채용|인사기획|직무관리,,3,5,0.6,1.0,1,2,2,0.0,34,31,0,31
24,hrd_to_compensation,02,candidate,교육훈련운영,임금관리,True,교육훈련운영,임금관리,임금관리|급여지급|인사기획,임금관리|급여지급|단체협약이행|인사기획|복리후생관리,임금관리|급여지급|인사기획,,3,5,0.6,1.0,1,2,2,0.0,34,29,0,29
25,hr_planning_to_recruiting,02,candidate,인사기획,인력채용,True,인사기획,인력채용,인력채용|인사기획|직무관리,인력채용|직무관리|단체협약이행|단체교섭준비|인사기획,인력채용|인사기획|직무관리,,3,5,0.6,1.0,1,1,3,0.0323,22,31,1,30
26,hr_planning_to_compensation,02,candidate,인사기획,임금관리,True,인사기획,임금관리,임금관리|급여지급|인사기획,임금관리|급여지급|단체협약이행|복리후생관리|인사기획,임금관리|급여지급|인사기획,,3,5,0.6,1.0,1,1,3,0.069,22,29,2,27
27,hr_planning_to_hrd,02,candidate,인사기획,교육훈련운영,True,인사기획,교육훈련운영,교육훈련운영|핵심인재관리|직무관리,교육훈련운영|핵심인재관리|노사관계 교육훈련|단체교섭준비|직무관리,교육훈련운영|핵심인재관리|직무관리,,3,5,0.6,1.0,1,2,2,0.0,22,34,0,34
